species,genus,family
Macrocarpaea jensii,Macrocarpaea,Gentianaceae
Cuviera trilocularis,Cuviera,Rubiaceae
Dolicholobium cordatum,Dolicholobium,Rubiaceae
Hydnophytum grandifolium,Hydnophytum,Rubiaceae
Palicourea roseofaucis,Palicourea,Rubiaceae
Macrocarpaea pachyphylla,Macrocarpaea,Gentianaceae
Macrocarpaea × acuminata,Macrocarpaea,Gentianaceae
Coussarea megalocarpa,Coussarea,Rubiaceae
Kopsia angustipetala,Kopsia,Apocynaceae
Kopsia hainanensis,Kopsia,Apocynaceae
Kopsia sumatrana,Kopsia,Apocynaceae
Tacazzea pedicellata,Tacazzea,Apocynaceae
Heterostemma ficoides,Heterostemma,Apocynaceae
Secamone chouxii,Secamone,Apocynaceae
Palicourea asplundii,Palicourea,Rubiaceae
Palicourea gachetaensis,Palicourea,Rubiaceae
Palicourea kuhlmannii,Palicourea,Rubiaceae
Palicourea spathacea,Palicourea,Rubiaceae
Secamone dilapidans,Secamone,Apocynaceae
Secamone elegans,Secamone,Apocynaceae
Secamone lenticellata,Secamone,Apocynaceae
Secamone linearis,Secamone,Apocynaceae
Secamone tuberculata,Secamone,Apocynaceae
Hydnophytum hailans,Hydnophytum,Rubiaceae
Macrocarpaea voluptuosa,Macrocarpaea,Gentianaceae
Macrocarpaea pringleana,Macrocarpaea,Gentianaceae
Macrocarpaea neillii,Macrocarpaea,Gentianaceae
Macrocarpaea valerii,Macrocarpaea,Gentianaceae
Cuviera acutiflora,Cuviera,Rubiaceae
Dolicholobium nakiki,Dolicholobium,Rubiaceae
Dolicholobium philippinense,Dolicholobium,Rubiaceae
Hydnophytum albertisii,Hydnophytum,Rubiaceae
Hydnophytum zippelianum,Hydnophytum,Rubiaceae
Heterostemma membranifolium,Heterostemma,Apocynaceae
Macrocarpaea pacifica,Macrocarpaea,Gentianaceae
Coussarea uniflora,Coussarea,Rubiaceae
Coussarea violacea,Coussarea,Rubiaceae
Kopsia tonkinensis,Kopsia,Apocynaceae
Palicourea azulina,Palicourea,Rubiaceae
Palicourea lozanoana,Palicourea,Rubiaceae
Logania saxatilis,Logania,Loganiaceae
Logania recurva,Logania,Loganiaceae
Palicourea amapaensis,Palicourea,Rubiaceae
Palicourea canaguensis,Palicourea,Rubiaceae
Palicourea leuconeura,Palicourea,Rubiaceae
Palicourea obesiflora,Palicourea,Rubiaceae
Palicourea sodiroi,Palicourea,Rubiaceae
Coussarea camposiana,Coussarea,Rubiaceae
Secamone badia,Secamone,Apocynaceae
Secamone polyantha,Secamone,Apocynaceae
Secamone uniflora,Secamone,Apocynaceae
Hydnophytum terrestris,Hydnophytum,Rubiaceae
Hydnophytum kebarense,Hydnophytum,Rubiaceae
Neuburgia tuberculata,Neuburgia,Loganiaceae
Macrocarpaea xerantifulva,Macrocarpaea,Gentianaceae
Macrocarpaea laudabilis,Macrocarpaea,Gentianaceae
Macrocarpaea lenae,Macrocarpaea,Gentianaceae
Macrocarpaea luna-gentiana,Macrocarpaea,Gentianaceae
Macrocarpaea papillosa,Macrocarpaea,Gentianaceae
Macrocarpaea robin-fosteri,Macrocarpaea,Gentianaceae
Macrocarpaea gaudialis,Macrocarpaea,Gentianaceae
Macrocarpaea subcaudata,Macrocarpaea,Gentianaceae
Dolicholobium parviflorum,Dolicholobium,Rubiaceae
Dolicholobium ridsdalei,Dolicholobium,Rubiaceae
Heterostemma oblongifolium,Heterostemma,Apocynaceae
Macrocarpaea micrantha,Macrocarpaea,Gentianaceae
Coussarea durifolia,Coussarea,Rubiaceae
Coussarea locuples,Coussarea,Rubiaceae
Coussarea obscura,Coussarea,Rubiaceae
Coussarea penetantha,Coussarea,Rubiaceae
Kopsia rosea,Kopsia,Apocynaceae
Ibatia lanosa,Ibatia,Apocynaceae
Lachnostoma tigrinum,Lachnostoma,Apocynaceae
Telectadium edule,Telectadium,Apocynaceae
Palicourea condorcanquiana,Palicourea,Rubiaceae
Vangueria loranthifolia,Vangueria,Rubiaceae
Palicourea anderssoniana,Palicourea,Rubiaceae
Palicourea demissa,Palicourea,Rubiaceae
Palicourea effusa,Palicourea,Rubiaceae
Palicourea flavescens,Palicourea,Rubiaceae
Palicourea hospitalis,Palicourea,Rubiaceae
Palicourea psittacorum,Palicourea,Rubiaceae
Palicourea pustulata,Palicourea,Rubiaceae
Palicourea seleri,Palicourea,Rubiaceae
Palicourea tumidonodosa,Palicourea,Rubiaceae
Secamone auriculata,Secamone,Apocynaceae
Secamone bosseri,Secamone,Apocynaceae
Secamone insularis,Secamone,Apocynaceae
Secamone kjellbergii,Secamone,Apocynaceae
Secamone ligustrifolia,Secamone,Apocynaceae
Secamone pachyphylla,Secamone,Apocynaceae
Hydnophytum mamberamoense,Hydnophytum,Rubiaceae
Hydnophytum valetonii,Hydnophytum,Rubiaceae
Logania sylvicola,Logania,Loganiaceae
Dolicholobium aneityense,Dolicholobium,Rubiaceae
Hydnophytum bracteatum,Hydnophytum,Rubiaceae
Joosia ulei,Joosia,Rubiaceae
Palicourea jenaro-herrerana,Palicourea,Rubiaceae
Coussarea antioquiana,Coussarea,Rubiaceae
Coussarea evoluta,Coussarea,Rubiaceae
Coussarea tenuiflora,Coussarea,Rubiaceae
Coussarea verticillata,Coussarea,Rubiaceae
Kopsia macrophylla,Kopsia,Apocynaceae
Palicourea madidiensis,Palicourea,Rubiaceae
Telectadium dongnaiense,Telectadium,Apocynaceae
Hydnophytum puffii,Hydnophytum,Rubiaceae
Palicourea palaciosii,Palicourea,Rubiaceae
Palicourea tocachensis,Palicourea,Rubiaceae
Heterostemma carnosum,Heterostemma,Apocynaceae
Logania linifolia,Logania,Loganiaceae
Palicourea aristei,Palicourea,Rubiaceae
Palicourea bostrychostachya,Palicourea,Rubiaceae
Palicourea canarina,Palicourea,Rubiaceae
Palicourea chaquirana,Palicourea,Rubiaceae
Palicourea cornigera,Palicourea,Rubiaceae
Palicourea frontinoensis,Palicourea,Rubiaceae
Palicourea nigricans,Palicourea,Rubiaceae
Palicourea obtusata,Palicourea,Rubiaceae
Palicourea toroi,Palicourea,Rubiaceae
Palicourea vulcanalis,Palicourea,Rubiaceae
Dolicholobium riuense,Dolicholobium,Rubiaceae
Heterostemma tsoongii,Heterostemma,Apocynaceae
Macrocarpaea pachystyla,Macrocarpaea,Gentianaceae
Macrocarpaea illuminata,Macrocarpaea,Gentianaceae
Coussarea ampla,Coussarea,Rubiaceae
Coussarea congestiflora,Coussarea,Rubiaceae
Coussarea paniculata,Coussarea,Rubiaceae
Richardia gandarae,Richardia,Rubiaceae
Coussarea chiapensis,Coussarea,Rubiaceae
Palicourea foreroi,Palicourea,Rubiaceae
Palicourea ceratophora,Palicourea,Rubiaceae
Palicourea wolffiae,Palicourea,Rubiaceae
Palicourea pseudolevis,Palicourea,Rubiaceae
Palicourea paratinctoria,Palicourea,Rubiaceae
Palicourea ceronii,Palicourea,Rubiaceae
Palicourea cyanantha,Palicourea,Rubiaceae
Palicourea gomezii,Palicourea,Rubiaceae
Palicourea harlingii,Palicourea,Rubiaceae
Palicourea lopeziana,Palicourea,Rubiaceae
Vangueria macrocalyx,Vangueria,Rubiaceae
Vangueria pygmaea,Vangueria,Rubiaceae
Secamone discolor,Secamone,Apocynaceae
Secamone rubra,Secamone,Apocynaceae
Secamone schatzii,Secamone,Apocynaceae
Secamone supranervis,Secamone,Apocynaceae
Palicourea cauligera,Palicourea,Rubiaceae
Macrocarpaea maryae,Macrocarpaea,Gentianaceae
Macrocarpaea bubops,Macrocarpaea,Gentianaceae
Hydnophytum cordifolium,Hydnophytum,Rubiaceae
Palicourea premontana,Palicourea,Rubiaceae
Heterostemma fimbriatum,Heterostemma,Apocynaceae
Heterostemma grandiflorum,Heterostemma,Apocynaceae
Heterostemma stellatum,Heterostemma,Apocynaceae
Macrocarpaea angustifolia,Macrocarpaea,Gentianaceae
Macrocarpaea duquei,Macrocarpaea,Gentianaceae
Macrocarpaea cochabambensis,Macrocarpaea,Gentianaceae
Coussarea fanshawei,Coussarea,Rubiaceae
Coussarea garciae,Coussarea,Rubiaceae
Coussarea lasseri,Coussarea,Rubiaceae
Coussarea mexicana,Coussarea,Rubiaceae
Coussarea pilosiflora,Coussarea,Rubiaceae
Kopsia lapidilecta,Kopsia,Apocynaceae
Richardia lomensis,Richardia,Rubiaceae
Logania litoralis,Logania,Loganiaceae
Coussarea amplifolia,Coussarea,Rubiaceae
Dolicholobium rubrum,Dolicholobium,Rubiaceae
Nerium oleander,Nerium,Apocynaceae
Palicourea danielis,Palicourea,Rubiaceae
Palicourea densa,Palicourea,Rubiaceae
Palicourea dorantha,Palicourea,Rubiaceae
Palicourea flexiramea,Palicourea,Rubiaceae
Palicourea ionantha,Palicourea,Rubiaceae
Palicourea lasiorrhachis,Palicourea,Rubiaceae
Palicourea nana,Palicourea,Rubiaceae
Palicourea nayana,Palicourea,Rubiaceae
Palicourea nitis,Palicourea,Rubiaceae
Palicourea purdiei,Palicourea,Rubiaceae
Palicourea sopkinii,Palicourea,Rubiaceae
Coussarea pilosula,Coussarea,Rubiaceae
Secamone jongkindii,Secamone,Apocynaceae
Secamone oleifolia,Secamone,Apocynaceae
Secamone tsingycola,Secamone,Apocynaceae
Palicourea divisorana,Palicourea,Rubiaceae
Hydnophytum confertifolium,Hydnophytum,Rubiaceae
Hydnophytum tetrapterum,Hydnophytum,Rubiaceae
Plocaniophyllon flavum,Plocaniophyllon,Rubiaceae
Heterostemma herbertii,Heterostemma,Apocynaceae
Macrocarpaea sodiroana,Macrocarpaea,Gentianaceae
Macrocarpaea harlingii,Macrocarpaea,Gentianaceae
Macrocarpaea luteynii,Macrocarpaea,Gentianaceae
Coussarea bernardii,Coussarea,Rubiaceae
Coussarea sessilifolia,Coussarea,Rubiaceae
Coussarea tricephala,Coussarea,Rubiaceae
Palicourea neillii,Palicourea,Rubiaceae
Palicourea rodriguezii,Palicourea,Rubiaceae
Secamone glabra,Secamone,Apocynaceae
Palicourea condorica,Palicourea,Rubiaceae
Palicourea garciae,Palicourea,Rubiaceae
Palicourea jaramilloi,Palicourea,Rubiaceae
Palicourea justicioides,Palicourea,Rubiaceae
Palicourea kanehirae,Palicourea,Rubiaceae
Palicourea lachnantha,Palicourea,Rubiaceae
Palicourea lasseri,Palicourea,Rubiaceae
Palicourea saligna,Palicourea,Rubiaceae
Secamone attenuifolia,Secamone,Apocynaceae
Secamone ecoronata,Secamone,Apocynaceae
Secamone filiformis,Secamone,Apocynaceae
Secamone erythradenia,Secamone,Apocynaceae
Secamone punctulata,Secamone,Apocynaceae
Hydnophytum pauper,Hydnophytum,Rubiaceae
Macrocarpaea callejasii,Macrocarpaea,Gentianaceae
Macrocarpaea lacrossiformis,Macrocarpaea,Gentianaceae
Macrocarpaea schultesii,Macrocarpaea,Gentianaceae
Hydnophytum myrtifolium,Hydnophytum,Rubiaceae
Joosia obtusa,Joosia,Rubiaceae
Willughbeia grandiflora,Willughbeia,Apocynaceae
Heterostemma cuspidatum,Heterostemma,Apocynaceae
Heterostemma pingtaoi,Heterostemma,Apocynaceae
Macrocarpaea ovalis,Macrocarpaea,Gentianaceae
Coussarea duplex,Coussarea,Rubiaceae
Coussarea hirticalyx,Coussarea,Rubiaceae
Coussarea speciosa,Coussarea,Rubiaceae
Kopsia griffithii,Kopsia,Apocynaceae
Palicourea sucllii,Palicourea,Rubiaceae
Heterostemma bicanthaceum,Heterostemma,Apocynaceae
Palicourea aurantiosplendens,Palicourea,Rubiaceae
Palicourea locuples,Palicourea,Rubiaceae
Secamone furcata,Secamone,Apocynaceae
Logania depressa,Logania,Loganiaceae
Vangueria senegalensis,Vangueria,Rubiaceae
Palicourea galeottiana,Palicourea,Rubiaceae
Palicourea lugoana,Palicourea,Rubiaceae
Palicourea orosiana,Palicourea,Rubiaceae
Palicourea tepuicola,Palicourea,Rubiaceae
Pseudolithos gigas,Pseudolithos,Apocynaceae
Secamone brachystigma,Secamone,Apocynaceae
Secamone clavistyla,Secamone,Apocynaceae
Secamone coronata,Secamone,Apocynaceae
Secamone elliptica,Secamone,Apocynaceae
Secamone pulchra,Secamone,Apocynaceae
Secamone stuhlmannii,Secamone,Apocynaceae
Palicourea flexuosa,Palicourea,Rubiaceae
Macrocarpaea normae,Macrocarpaea,Gentianaceae
Macrocarpaea obnubilata,Macrocarpaea,Gentianaceae
Macrocarpaea gracilis,Macrocarpaea,Gentianaceae
Macrocarpaea illecebrosa,Macrocarpaea,Gentianaceae
Dolicholobium moluccense,Dolicholobium,Rubiaceae
Dolicholobium solomonense,Dolicholobium,Rubiaceae
Hydnophytum archboldianum,Hydnophytum,Rubiaceae
Hydnophytum decipiens,Hydnophytum,Rubiaceae
Hydnophytum microphyllum,Hydnophytum,Rubiaceae
Hydnophytum ovatum,Hydnophytum,Rubiaceae
Palicourea quinquepyrena,Palicourea,Rubiaceae
Macrocarpaea autanae,Macrocarpaea,Gentianaceae
Macrocarpaea bangiana,Macrocarpaea,Gentianaceae
Macrocarpaea catherineae,Macrocarpaea,Gentianaceae
Coussarea leptopus,Coussarea,Rubiaceae
Kopsia dasyrachis,Kopsia,Apocynaceae
Palicourea simpsonii,Palicourea,Rubiaceae
Palicourea albert-smithii,Palicourea,Rubiaceae
Palicourea andrei,Palicourea,Rubiaceae
Palicourea calantha,Palicourea,Rubiaceae
Palicourea calothyrsus,Palicourea,Rubiaceae
Palicourea chiriquina,Palicourea,Rubiaceae
Palicourea eriantha,Palicourea,Rubiaceae
Palicourea huberi,Palicourea,Rubiaceae
Palicourea longipedunculata,Palicourea,Rubiaceae
Palicourea smithiana,Palicourea,Rubiaceae
Coussarea maranonensis,Coussarea,Rubiaceae
Secamone andamanica,Secamone,Apocynaceae
Secamone geayi,Secamone,Apocynaceae
Neuburgia tubiflora,Neuburgia,Loganiaceae
Macrocarpaea innarrabilis,Macrocarpaea,Gentianaceae
Cuviera calycosa,Cuviera,Rubiaceae
Hydnophytum magnifolium,Hydnophytum,Rubiaceae
Hydnophytum petiolatum,Hydnophytum,Rubiaceae
Joosia longisepala,Joosia,Rubiaceae
Heterostemma brownii,Heterostemma,Apocynaceae
Ibatia micrantha,Ibatia,Apocynaceae
Macrocarpaea bracteata,Macrocarpaea,Gentianaceae
Tetrapollinia caerulescens,Tetrapollinia,Gentianaceae
Palicourea pseudaxillaris,Palicourea,Rubiaceae
Coussarea macrocalyx,Coussarea,Rubiaceae
Coussarea rudgeoides,Coussarea,Rubiaceae
Palicourea tsakiana,Palicourea,Rubiaceae
Secamone dictyoneura,Secamone,Apocynaceae
Logania fasciculata,Logania,Loganiaceae
Macrocarpaea ayangannae,Macrocarpaea,Gentianaceae
Palicourea antioquiana,Palicourea,Rubiaceae
Palicourea chimboracensis,Palicourea,Rubiaceae
Palicourea ctenocalyx,Palicourea,Rubiaceae
Palicourea mello-barretoi,Palicourea,Rubiaceae
Palicourea ochnoides,Palicourea,Rubiaceae
Palicourea ovata,Palicourea,Rubiaceae
Palicourea punoensis,Palicourea,Rubiaceae
Palicourea quadrilateralis,Palicourea,Rubiaceae
Palicourea stipularis,Palicourea,Rubiaceae
Palicourea vestita,Palicourea,Rubiaceae
Coussarea boliviensis,Coussarea,Rubiaceae
Secamone bemarahensis,Secamone,Apocynaceae
Secamone dequairei,Secamone,Apocynaceae
Secamone linearifolia,Secamone,Apocynaceae
Secamone sumatrana,Secamone,Apocynaceae
Palicourea amorimii,Palicourea,Rubiaceae
Macrocarpaea quechua,Macrocarpaea,Gentianaceae
Macrocarpaea opulenta,Macrocarpaea,Gentianaceae
Cuviera angolensis,Cuviera,Rubiaceae
Dolicholobium oblongifolium,Dolicholobium,Rubiaceae
Hydnophytum grandiflorum,Hydnophytum,Rubiaceae
Lamprothamnus zanguebaricus,Lamprothamnus,Rubiaceae
Willughbeia coriacea,Willughbeia,Apocynaceae
Palicourea calophlebioides,Palicourea,Rubiaceae
Heterostemma suberosum,Heterostemma,Apocynaceae
Macrocarpaea angelliae,Macrocarpaea,Gentianaceae
Palicourea palustris,Palicourea,Rubiaceae
Tacazzea conferta,Tacazzea,Apocynaceae
Palicourea parvijelskii,Palicourea,Rubiaceae
Palicourea spiralis,Palicourea,Rubiaceae
Vangueria esculenta,Vangueria,Rubiaceae
Palicourea blanchetiana,Palicourea,Rubiaceae
Palicourea guianensis,Palicourea,Rubiaceae
Palicourea herrerae,Palicourea,Rubiaceae
Palicourea heterantha,Palicourea,Rubiaceae
Palicourea ovalis,Palicourea,Rubiaceae
Palicourea skotakii,Palicourea,Rubiaceae
Palicourea weberbaueri,Palicourea,Rubiaceae
Vangueria madagascariensis,Vangueria,Rubiaceae
Secamone kunstleri,Secamone,Apocynaceae
Secamone nervosa,Secamone,Apocynaceae
Secamone urceolata,Secamone,Apocynaceae
Hydnophytum trichomanes,Hydnophytum,Rubiaceae
Hydnophytum dauloense,Hydnophytum,Rubiaceae
Macrocarpaea dies-viridis,Macrocarpaea,Gentianaceae
Dolicholobium rheophilum,Dolicholobium,Rubiaceae
Hydnophytum linearifolium,Hydnophytum,Rubiaceae
Hydnophytum vitis-idaea,Hydnophytum,Rubiaceae
Willughbeia edulis,Willughbeia,Apocynaceae
Heterostemma collinum,Heterostemma,Apocynaceae
Heterostemma piperifolium,Heterostemma,Apocynaceae
Heterostemma siamicum,Heterostemma,Apocynaceae
Coussarea revoluta,Coussarea,Rubiaceae
Theligonum cynocrambe,Theligonum,Rubiaceae
Palicourea roseocremea,Palicourea,Rubiaceae
Edithcolea grandis,Edithcolea,Apocynaceae
Lachnostoma huilaense,Lachnostoma,Apocynaceae
Logania scabrella,Logania,Loganiaceae
Palicourea gonzaleziana,Palicourea,Rubiaceae
Vangueria kerstingii,Vangueria,Rubiaceae
Palicourea cogolloi,Palicourea,Rubiaceae
Palicourea herzogii,Palicourea,Rubiaceae
Palicourea hoehnei,Palicourea,Rubiaceae
Palicourea jatun-sachensis,Palicourea,Rubiaceae
Palicourea tetraphylla,Palicourea,Rubiaceae
Palicourea vacillans,Palicourea,Rubiaceae
Palicourea zarucchii,Palicourea,Rubiaceae
Secamone dolichorhachys,Secamone,Apocynaceae
Secamone pedicellaris,Secamone,Apocynaceae
Secamone pinnata,Secamone,Apocynaceae
Secamone thouarsii,Secamone,Apocynaceae
Secamone uncinata,Secamone,Apocynaceae
Gentianopsis nesophila,Gentianopsis,Gentianaceae
Macrocarpaea ypsilocaule,Macrocarpaea,Gentianaceae
Macrocarpaea subsessilis,Macrocarpaea,Gentianaceae
Macrocarpaea wurdackii,Macrocarpaea,Gentianaceae
Macrocarpaea maguirei,Macrocarpaea,Gentianaceae
Macrocarpaea noctiluca,Macrocarpaea,Gentianaceae
Macrocarpaea gondoloides,Macrocarpaea,Gentianaceae
Kopsia rajangensis,Kopsia,Apocynaceae
Cuviera letestui,Cuviera,Rubiaceae
Dolicholobium seruiense,Dolicholobium,Rubiaceae
Hydnophytum formicarum,Hydnophytum,Rubiaceae
Hydnophytum radicans,Hydnophytum,Rubiaceae
Heterostemma angustilobum,Heterostemma,Apocynaceae
Macrocarpaea rugosa,Macrocarpaea,Gentianaceae
Macrocarpaea domingensis,Macrocarpaea,Gentianaceae
Coussarea bahiensis,Coussarea,Rubiaceae
Coussarea leptophragma,Coussarea,Rubiaceae
Coussarea liesneri,Coussarea,Rubiaceae
Coussarea talamancana,Coussarea,Rubiaceae
Telectadium linearicarpum,Telectadium,Apocynaceae
Palicourea quizhpei,Palicourea,Rubiaceae
Palicourea imbaburana,Palicourea,Rubiaceae
Logania ovata,Logania,Loganiaceae
Calocrater preussii,Calocrater,Apocynaceae
Palicourea azurea,Palicourea,Rubiaceae
Palicourea caloneura,Palicourea,Rubiaceae
Palicourea phanerandra,Palicourea,Rubiaceae
Palicourea ulloana,Palicourea,Rubiaceae
Palicourea vogelii,Palicourea,Rubiaceae
Palicourea gelsemiiflora,Palicourea,Rubiaceae
Secamone alpini,Secamone,Apocynaceae
Secamone bicolor,Secamone,Apocynaceae
Secamone gerrardii,Secamone,Apocynaceae
Secamone laxa,Secamone,Apocynaceae
Secamone schinziana,Secamone,Apocynaceae
Heterostemma cucphuongense,Heterostemma,Apocynaceae
Heterostemma saolaense,Heterostemma,Apocynaceae
Macrocarpaea ewaniana,Macrocarpaea,Gentianaceae
Macrocarpaea jalca,Macrocarpaea,Gentianaceae
Ronabea latifolia,Ronabea,Rubiaceae
Logania granitica,Logania,Loganiaceae
Macrocarpaea × mattii,Macrocarpaea,Gentianaceae
Dolicholobium brassii,Dolicholobium,Rubiaceae
Dolicholobium macgregorii,Dolicholobium,Rubiaceae
Dolicholobium rufiflorum,Dolicholobium,Rubiaceae
Palicourea acanthacea,Palicourea,Rubiaceae
Palicourea acetosoides,Palicourea,Rubiaceae
Coussarea longilaciniata,Coussarea,Rubiaceae
Heterostemma xuansonense,Heterostemma,Apocynaceae
Lachnostoma caucanum,Lachnostoma,Apocynaceae
Macrocarpaea piresii,Macrocarpaea,Gentianaceae
Macrocarpaea felicitata,Macrocarpaea,Gentianaceae
Palicourea oxapampana,Palicourea,Rubiaceae
Palicourea yanesha,Palicourea,Rubiaceae
Palicourea dodsoniana,Palicourea,Rubiaceae
Palicourea topoensis,Palicourea,Rubiaceae
Palicourea glutinosa,Palicourea,Rubiaceae
Palicourea pseudottonis,Palicourea,Rubiaceae
Vangueria parvifolia,Vangueria,Rubiaceae
Palicourea brachystigma,Palicourea,Rubiaceae
Palicourea heterochroma,Palicourea,Rubiaceae
Palicourea marcgravii,Palicourea,Rubiaceae
Palicourea myriantha,Palicourea,Rubiaceae
Palicourea pachycalyx,Palicourea,Rubiaceae
Palicourea pittieri,Palicourea,Rubiaceae
Secamone cristata,Secamone,Apocynaceae
Secamone grandiflora,Secamone,Apocynaceae
Secamone urdanetensis,Secamone,Apocynaceae
Utania nervosa,Utania,Gentianaceae
Cordiera macrophylla,Cordiera,Rubiaceae
Cordiera stipulacea,Cordiera,Rubiaceae
Cordiera coriacea,Cordiera,Rubiaceae
Phyllocyclus helferianus,Phyllocyclus,Gentianaceae
Fadogia spectabilis,Fadogia,Rubiaceae
Fadogia verdickii,Fadogia,Rubiaceae
Fagraea carstensensis,Fagraea,Gentianaceae
Petalostelma longipedunculatum,Petalostelma,Apocynaceae
Paederia calycina,Paederia,Rubiaceae
Fagraea gitingensis,Fagraea,Gentianaceae
Petalostelma dardanoi,Petalostelma,Apocynaceae
Fagraea cambagei,Fagraea,Gentianaceae
Hunteria ghanensis,Hunteria,Apocynaceae
Paederia cavaleriei,Paederia,Rubiaceae
Paederia pospischilii,Paederia,Rubiaceae
Cordiera mussunungae,Cordiera,Rubiaceae
Bonyunia spectabilis,Bonyunia,Loganiaceae
Bonyunia nobilis,Bonyunia,Loganiaceae
Fagraea longipetiolata,Fagraea,Gentianaceae
Fadogia tetraquetra,Fadogia,Rubiaceae
Fadogia tomentosa,Fadogia,Rubiaceae
Fadogia vollesenii,Fadogia,Rubiaceae
Cordiera longicaudata,Cordiera,Rubiaceae
Tulearia splendida,Tulearia,Rubiaceae
Bonyunia antoniifolia,Bonyunia,Loganiaceae
Paederia microcephala,Paederia,Rubiaceae
Fagraea fastigiata,Fagraea,Gentianaceae
Fadogia audruana,Fadogia,Rubiaceae
Paederia emeiensis,Paederia,Rubiaceae
Fagraea bodenii,Fagraea,Gentianaceae
Hunteria densiflora,Hunteria,Apocynaceae
Petalostelma auriculatum,Petalostelma,Apocynaceae
Utania philippinensis,Utania,Gentianaceae
Fagraea tacapala,Fagraea,Gentianaceae
Fagraea auriculata,Fagraea,Gentianaceae
Callichilia basileis,Callichilia,Apocynaceae
Paederia cruddasiana,Paederia,Rubiaceae
Fagraea gardeniiflora,Fagraea,Gentianaceae
Fagraea iliasii,Fagraea,Gentianaceae
Fagraea imperialis,Fagraea,Gentianaceae
Fagraea megalantha,Fagraea,Gentianaceae
Fadogia olivacea,Fadogia,Rubiaceae
Kupeantha kupensis,Kupeantha,Rubiaceae
Kanapia monstrosa,Kanapia,Rubiaceae
Fagraea stonei,Fagraea,Gentianaceae
Fagraea euneura,Fagraea,Gentianaceae
Fadogia glaberrima,Fadogia,Rubiaceae
Fagraea oreophila,Fagraea,Gentianaceae
Paederia sambiranensis,Paederia,Rubiaceae
Diplolepis diemii,Diplolepis,Apocynaceae
Fagraea involucrata,Fagraea,Gentianaceae
Fagraea kuminii,Fagraea,Gentianaceae
Pectinaria erinacea,Pectinaria,Apocynaceae
Simira eliezeriana,Simira,Rubiaceae
Simira grazielae,Simira,Rubiaceae
Vangueriopsis shimbaensis,Vangueriopsis,Rubiaceae
Fagraea larutensis,Fagraea,Gentianaceae
Fadogia fuchsioides,Fadogia,Rubiaceae
Fadogia graminea,Fadogia,Rubiaceae
Paederia changguan,Paederia,Rubiaceae
Calotropis acia,Calotropis,Apocynaceae
Fagraea curtisii,Fagraea,Gentianaceae
Simira ignicola,Simira,Rubiaceae
Fagraea umbelliflora,Fagraea,Gentianaceae
Fagraea kinghamii,Fagraea,Gentianaceae
Fagraea kinabaluensis,Fagraea,Gentianaceae
Fagraea longiflora,Fagraea,Gentianaceae
Laubertia boissieri,Laubertia,Apocynaceae
Parapodium crispum,Parapodium,Apocynaceae
Petalostelma andinum,Petalostelma,Apocynaceae
Hunteria oxyantha,Hunteria,Apocynaceae
Fagraea ridleyi,Fagraea,Gentianaceae
Fagraea epiphytica,Fagraea,Gentianaceae
Fagraea litoralis,Fagraea,Gentianaceae
Simira tinctoria,Simira,Rubiaceae
Hunteria umbellata,Hunteria,Apocynaceae
Paederia majungensis,Paederia,Rubiaceae
Fadogia ancylantha,Fadogia,Rubiaceae
Mastixiodendron plectocarpum,Mastixiodendron,Rubiaceae
Vangueriopsis rubiginosa,Vangueriopsis,Rubiaceae
Utania austromalayensis,Utania,Gentianaceae
Paederia thorelii,Paederia,Rubiaceae
Cordiera tuberculata,Cordiera,Rubiaceae
Cordiera bahiensis,Cordiera,Rubiaceae
Fadogia leucophloea,Fadogia,Rubiaceae
Paederia thouarsiana,Paederia,Rubiaceae
Paederia lanata,Paederia,Rubiaceae
Paederia pilifera,Paederia,Rubiaceae
Fagraea eymae,Fagraea,Gentianaceae
Fadogia latifolia,Fadogia,Rubiaceae
Plectaneia stenophylla,Plectaneia,Apocynaceae
Fagraea ceilanica,Fagraea,Gentianaceae
Mastixiodendron pilosum,Mastixiodendron,Rubiaceae
Simira lezamae,Simira,Rubiaceae
Fagraea woodiana,Fagraea,Gentianaceae
Cordiera rugulata,Cordiera,Rubiaceae
Bonyunia magnifica,Bonyunia,Loganiaceae
Fagraea havilandii,Fagraea,Gentianaceae
Fadogia arenicola,Fadogia,Rubiaceae
Fadogia caespitosa,Fadogia,Rubiaceae
Fadogia lactiflora,Fadogia,Rubiaceae
Fadogia rostrata,Fadogia,Rubiaceae
Fagraea dasyantha,Fagraea,Gentianaceae
Vangueriopsis longiflora,Vangueriopsis,Rubiaceae
Paederia ntiti,Paederia,Rubiaceae
Hunteria congolana,Hunteria,Apocynaceae
Paederia stenobotrya,Paederia,Rubiaceae
Bonyunia excelsa,Bonyunia,Loganiaceae
Fagraea cameronensis,Fagraea,Gentianaceae
Fadogia oblongolanceolata,Fadogia,Rubiaceae
Maschalodesme arborea,Maschalodesme,Rubiaceae
Kupeantha ebo,Kupeantha,Rubiaceae
Cordiera montana,Cordiera,Rubiaceae
Fagraea renae,Fagraea,Gentianaceae
Fagraea salticola,Fagraea,Gentianaceae
Campestigma purpureum,Campestigma,Apocynaceae
Parapodium simile,Parapodium,Apocynaceae
Simira colorata,Simira,Rubiaceae
Fagraea borneensis,Fagraea,Gentianaceae
Fagraea coromandelina,Fagraea,Gentianaceae
Callichilia bequaertii,Callichilia,Apocynaceae
Simira gardneriana,Simira,Rubiaceae
